CHROM	FRAG_START	FRAG_STOP	STRAND	DESCRIPTION	MODEL
Chr1	72583	73883	+	"ID=AT1G01160.1-Protein;Name=AT1G01160.1;Derives_from=AT1G01160.1"	AT1G01160.1
Chr1	72583	73883	+	"ID=AT1G01160.2-Protein;Name=AT1G01160.2;Derives_from=AT1G01160.2"	AT1G01160.2
Chr1	74105	74443	-	"ID=AT1G01170.1-Protein;Name=AT1G01170.1;Derives_from=AT1G01170.1"	AT1G01170.1
Chr1	74105	74443	-	"ID=AT1G01170.2-Protein;Name=AT1G01170.2;Derives_from=AT1G01170.2"	AT1G01170.2
Chr1	75633	76556	+	"ID=AT1G01180.1-Protein;Name=AT1G01180.1;Derives_from=AT1G01180.1"	AT1G01180.1
Chr1	83045	84864	-	"ID=AT1G01190.1-Protein;Name=AT1G01190.1;Derives_from=AT1G01190.1"	AT1G01190.1
Chr1	86715	88145	-	"ID=AT1G01200.1-Protein;Name=AT1G01200.1;Derives_from=AT1G01200.1"	AT1G01200.1
Chr1	88977	89529	+	"ID=AT1G01210.1-Protein;Name=AT1G01210.1;Derives_from=AT1G01210.1"	AT1G01210.1
Chr1	91750	95552	+	"ID=AT1G01220.1-Protein;Name=AT1G01220.1;Derives_from=AT1G01220.1"	AT1G01220.1
Chr1	96064	97242	+	"ID=AT1G01225.1-Protein;Name=AT1G01225.1;Derives_from=AT1G01225.1"	AT1G01225.1
Chr1	97620	99046	+	"ID=AT1G01230.1-Protein;Name=AT1G01230.1;Derives_from=AT1G01230.1"	AT1G01230.1
Chr1	100683	101678	+	"ID=AT1G01240.1-Protein;Name=AT1G01240.1;Derives_from=AT1G01240.1"	AT1G01240.1
Chr1	100683	101678	+	"ID=AT1G01240.2-Protein;Name=AT1G01240.2;Derives_from=AT1G01240.2"	AT1G01240.2
Chr1	100683	101678	+	"ID=AT1G01240.3-Protein;Name=AT1G01240.3;Derives_from=AT1G01240.3"	AT1G01240.3
Chr1	104731	105309	-	"ID=AT1G01250.1-Protein;Name=AT1G01250.1;Derives_from=AT1G01250.1"	AT1G01250.1
Chr1	109595	111367	+	"ID=AT1G01260.1-Protein;Name=AT1G01260.1;Derives_from=AT1G01260.1"	AT1G01260.1
Chr1	109595	111367	+	"ID=AT1G01260.2-Protein;Name=AT1G01260.2;Derives_from=AT1G01260.2"	AT1G01260.2
Chr1	109595	111367	+	"ID=AT1G01260.3-Protein;Name=AT1G01260.3;Derives_from=AT1G01260.3"	AT1G01260.3
Chr1	112290	113905	+	"ID=AT1G01280.1-Protein;Name=AT1G01280.1;Derives_from=AT1G01280.1"	AT1G01280.1
Chr1	114299	115296	+	"ID=AT1G01290.1-Protein;Name=AT1G01290.1;Derives_from=AT1G01290.1"	AT1G01290.1
Chr1	114299	115296	+	"ID=AT1G01290.2-Protein;Name=AT1G01290.2;Derives_from=AT1G01290.2"	AT1G01290.2
Chr1	117065	118522	+	"ID=AT1G01300.1-Protein;Name=AT1G01300.1;Derives_from=AT1G01300.1"	AT1G01300.1
Chr1	119429	119854	+	"ID=AT1G01305.1-Protein;Name=AT1G01305.1;Derives_from=AT1G01305.1"	AT1G01305.1
Chr1	120221	120946	+	"ID=AT1G01310.1-Protein;Name=AT1G01310.1;Derives_from=AT1G01310.1"	AT1G01310.1
Chr1	121582	130099	-	"ID=AT1G01320.1-Protein;Name=AT1G01320.1;Derives_from=AT1G01320.1"	AT1G01320.1
Chr1	121582	130099	-	"ID=AT1G01320.2-Protein;Name=AT1G01320.2;Derives_from=AT1G01320.2"	AT1G01320.2
Chr1	132414	135118	-	"ID=AT1G01340.1-Protein;Name=AT1G01340.1;Derives_from=AT1G01340.1"	AT1G01340.1
Chr1	132414	135216	-	"ID=AT1G01340.2-Protein;Name=AT1G01340.2;Derives_from=AT1G01340.2"	AT1G01340.2
Chr1	136732	137970	+	"ID=AT1G01350.1-Protein;Name=AT1G01350.1;Derives_from=AT1G01350.1"	AT1G01350.1
Chr1	138513	139568	+	"ID=AT1G01355.1-Protein;Name=AT1G01355.1;Derives_from=AT1G01355.1"	AT1G01355.1
Chr1	142138	142914	+	"ID=AT1G01360.1-Protein;Name=AT1G01360.1;Derives_from=AT1G01360.1"	AT1G01360.1
Chr1	143773	145400	+	"ID=AT1G01370.1-Protein;Name=AT1G01370.1;Derives_from=AT1G01370.1"	AT1G01370.1
Chr1	143773	145400	+	"ID=AT1G01370.2-Protein;Name=AT1G01370.2;Derives_from=AT1G01370.2"	AT1G01370.2
Chr1	147267	147740	+	"ID=AT1G01380.1-Protein;Name=AT1G01380.1;Derives_from=AT1G01380.1"	AT1G01380.1
Chr1	148319	149761	-	"ID=AT1G01390.1-Protein;Name=AT1G01390.1;Derives_from=AT1G01390.1"	AT1G01390.1
Chr1	151158	152149	-	"ID=AT1G01400.1-Protein;Name=AT1G01400.1;Derives_from=AT1G01400.1"	AT1G01400.1
Chr1	153113	154198	+	"ID=AT1G01410.1-Protein;Name=AT1G01410.1;Derives_from=AT1G01410.1"	AT1G01410.1
Chr1	154566	156011	-	"ID=AT1G01420.1-Protein;Name=AT1G01420.1;Derives_from=AT1G01420.1"	AT1G01420.1
Chr1	156953	158536	-	"ID=AT1G01430.1-Protein;Name=AT1G01430.1;Derives_from=AT1G01430.1"	AT1G01430.1
Chr1	159935	162219	-	"ID=AT1G01440.1-Protein;Name=AT1G01440.1;Derives_from=AT1G01440.1"	AT1G01440.1
Chr1	164105	165517	-	"ID=AT1G01450.1-Protein;Name=AT1G01450.1;Derives_from=AT1G01450.1"	AT1G01450.1
Chr1	166853	167798	-	"ID=AT1G01453.1-Protein;Name=AT1G01453.1;Derives_from=AT1G01453.1"	AT1G01453.1
Chr1	166929	167798	-	"ID=AT1G01453.2-Protein;Name=AT1G01453.2;Derives_from=AT1G01453.2"	AT1G01453.2
Chr1	169115	171154	+	"ID=AT1G01460.1-Protein;Name=AT1G01460.1;Derives_from=AT1G01460.1"	AT1G01460.1
Chr1	172295	172826	-	"ID=AT1G01470.1-Protein;Name=AT1G01470.1;Derives_from=AT1G01470.1"	AT1G01470.1
Chr1	173251	173466	+	"ID=AT1G01471.1-Protein;Name=AT1G01471.1;Derives_from=AT1G01471.1"	AT1G01471.1
Chr1	175862	178051	+	"ID=AT1G01480.1-Protein;Name=AT1G01480.1;Derives_from=AT1G01480.1"	AT1G01480.1
Chr1	176607	178051	+	"ID=AT1G01480.2-Protein;Name=AT1G01480.2;Derives_from=AT1G01480.2"	AT1G01480.2
Chr1	180401	182066	-	"ID=AT1G01490.1-Protein;Name=AT1G01490.1;Derives_from=AT1G01490.1"	AT1G01490.1
Chr1	180401	182066	-	"ID=AT1G01490.2-Protein;Name=AT1G01490.2;Derives_from=AT1G01490.2"	AT1G01490.2
Chr1	185260	186573	+	"ID=AT1G01500.1-Protein;Name=AT1G01500.1;Derives_from=AT1G01500.1"	AT1G01500.1
Chr1	187235	189836	+	"ID=AT1G01510.1-Protein;Name=AT1G01510.1;Derives_from=AT1G01510.1"	AT1G01510.1
Chr1	190596	192139	+	"ID=AT1G01520.1-Protein;Name=AT1G01520.1;Derives_from=AT1G01520.1"	AT1G01520.1
Chr1	192640	193662	-	"ID=AT1G01530.1-Protein;Name=AT1G01530.1;Derives_from=AT1G01530.1"	AT1G01530.1
Chr1	195980	197973	+	"ID=AT1G01540.1-Protein;Name=AT1G01540.1;Derives_from=AT1G01540.1"	AT1G01540.1
Chr1	195980	198383	+	"ID=AT1G01540.2-Protein;Name=AT1G01540.2;Derives_from=AT1G01540.2"	AT1G01540.2
Chr1	200526	201575	+	"ID=AT1G01550.1-Protein;Name=AT1G01550.1;Derives_from=AT1G01550.1"	AT1G01550.1
Chr1	200526	201575	+	"ID=AT1G01550.2-Protein;Name=AT1G01550.2;Derives_from=AT1G01550.2"	AT1G01550.2
Chr1	202345	203662	+	"ID=AT1G01560.1-Protein;Name=AT1G01560.1;Derives_from=AT1G01560.1"	AT1G01560.1
Chr1	202345	204189	+	"ID=AT1G01560.2-Protein;Name=AT1G01560.2;Derives_from=AT1G01560.2"	AT1G01560.2
Chr1	205176	207435	+	"ID=AT1G01570.1-Protein;Name=AT1G01570.1;Derives_from=AT1G01570.1"	AT1G01570.1
Chr1	209395	212810	+	"ID=AT1G01580.1-Protein;Name=AT1G01580.1;Derives_from=AT1G01580.1"	AT1G01580.1
Chr1	214229	217304	+	"ID=AT1G01590.1-Protein;Name=AT1G01590.1;Derives_from=AT1G01590.1"	AT1G01590.1
Chr1	219200	220994	+	"ID=AT1G01600.1-Protein;Name=AT1G01600.1;Derives_from=AT1G01600.1"	AT1G01600.1
Chr1	221950	224255	-	"ID=AT1G01610.1-Protein;Name=AT1G01610.1;Derives_from=AT1G01610.1"	AT1G01610.1
Chr1	225986	227176	-	"ID=AT1G01620.1-Protein;Name=AT1G01620.1;Derives_from=AT1G01620.1"	AT1G01620.1
Chr1	225986	226960	-	"ID=AT1G01620.2-Protein;Name=AT1G01620.2;Derives_from=AT1G01620.2"	AT1G01620.2
Chr1	229206	230675	+	"ID=AT1G01630.1-Protein;Name=AT1G01630.1;Derives_from=AT1G01630.1"	AT1G01630.1
Chr1	231164	231915	-	"ID=AT1G01640.1-Protein;Name=AT1G01640.1;Derives_from=AT1G01640.1"	AT1G01640.1
Chr1	231164	231915	-	"ID=AT1G01640.2-Protein;Name=AT1G01640.2;Derives_from=AT1G01640.2"	AT1G01640.2
Chr1	233188	237647	-	"ID=AT1G01650.1-Protein;Name=AT1G01650.1;Derives_from=AT1G01650.1"	AT1G01650.1
Chr1	233188	236537	-	"ID=AT1G01650.2-Protein;Name=AT1G01650.2;Derives_from=AT1G01650.2"	AT1G01650.2
Chr1	240057	242608	-	"ID=AT1G01660.1-Protein;Name=AT1G01660.1;Derives_from=AT1G01660.1"	AT1G01660.1
Chr1	242943	245163	-	"ID=AT1G01670.1-Protein;Name=AT1G01670.1;Derives_from=AT1G01670.1"	AT1G01670.1
Chr1	246411	248329	-	"ID=AT1G01680.1-Protein;Name=AT1G01680.1;Derives_from=AT1G01680.1"	AT1G01680.1
Chr1	249242	252221	+	"ID=AT1G01690.1-Protein;Name=AT1G01690.1;Derives_from=AT1G01690.1"	AT1G01690.1
Chr1	252947	254495	+	"ID=AT1G01695.1-Protein;Name=AT1G01695.1;Derives_from=AT1G01695.1"	AT1G01695.1
Chr1	259495	261474	-	"ID=AT1G01700.1-Protein;Name=AT1G01700.1;Derives_from=AT1G01700.1"	AT1G01700.1
Chr1	262950	266029	+	"ID=AT1G01710.1-Protein;Name=AT1G01710.1;Derives_from=AT1G01710.1"	AT1G01710.1
Chr1	268471	269514	+	"ID=AT1G01720.1-Protein;Name=AT1G01720.1;Derives_from=AT1G01720.1"	AT1G01720.1
Chr1	270016	270735	-	"ID=AT1G01725.1-Protein;Name=AT1G01725.1;Derives_from=AT1G01725.1"	AT1G01725.1
Chr1	271002	271872	+	"ID=AT1G01730.1-Protein;Name=AT1G01730.1;Derives_from=AT1G01730.1"	AT1G01730.1
Chr1	272111	274239	-	"ID=AT1G01740.1-Protein;Name=AT1G01740.1;Derives_from=AT1G01740.1"	AT1G01740.1
Chr1	272111	274239	-	"ID=AT1G01740.2-Protein;Name=AT1G01740.2;Derives_from=AT1G01740.2"	AT1G01740.2
Chr1	275528	276126	+	"ID=AT1G01750.1-Protein;Name=AT1G01750.1;Derives_from=AT1G01750.1"	AT1G01750.1
Chr1	276412	278448	-	"ID=AT1G01760.1-Protein;Name=AT1G01760.1;Derives_from=AT1G01760.1"	AT1G01760.1
Chr1	278759	282490	+	"ID=AT1G01770.1-Protein;Name=AT1G01770.1;Derives_from=AT1G01770.1"	AT1G01770.1
Chr1	282919	284082	+	"ID=AT1G01780.1-Protein;Name=AT1G01780.1;Derives_from=AT1G01780.1"	AT1G01780.1
Chr1	284781	290869	+	"ID=AT1G01790.1-Protein;Name=AT1G01790.1;Derives_from=AT1G01790.1"	AT1G01790.1
Chr1	293396	294888	+	"ID=AT1G01800.1-Protein;Name=AT1G01800.1;Derives_from=AT1G01800.1"	AT1G01800.1
Chr1	293595	294888	+	"ID=AT1G01800.2-Protein;Name=AT1G01800.2;Derives_from=AT1G01800.2"	AT1G01800.2
Chr1	295242	295724	+	"ID=AT1G01810.1-Protein;Name=AT1G01810.1;Derives_from=AT1G01810.1"	AT1G01810.1
Chr1	296213	297723	-	"ID=AT1G01820.1-Protein;Name=AT1G01820.1;Derives_from=AT1G01820.1"	AT1G01820.1
Chr1	298717	300441	-	"ID=AT1G01830.1-Protein;Name=AT1G01830.1;Derives_from=AT1G01830.1"	AT1G01830.1
Chr1	298717	300441	-	"ID=AT1G01830.2-Protein;Name=AT1G01830.2;Derives_from=AT1G01830.2"	AT1G01830.2
Chr1	298717	300441	-	"ID=AT1G01830.3-Protein;Name=AT1G01830.3;Derives_from=AT1G01830.3"	AT1G01830.3
Chr1	303650	304108	+	"ID=AT1G01840.1-Protein;Name=AT1G01840.1;Derives_from=AT1G01840.1"	AT1G01840.1
Chr1	304439	306275	-	"ID=AT1G01860.1-Protein;Name=AT1G01860.1;Derives_from=AT1G01860.1"	AT1G01860.1
Chr1	306558	308991	-	"ID=AT1G01880.1-Protein;Name=AT1G01880.1;Derives_from=AT1G01880.1"	AT1G01880.1
Chr1	306558	308991	-	"ID=AT1G01880.2-Protein;Name=AT1G01880.2;Derives_from=AT1G01880.2"	AT1G01880.2
Chr1	310332	313011	+	"ID=AT1G01900.1-Protein;Name=AT1G01900.1;Derives_from=AT1G01900.1"	AT1G01900.1
Chr1	313595	315831	-	"ID=AT1G01910.1-Protein;Name=AT1G01910.1;Derives_from=AT1G01910.1"	AT1G01910.1
Chr1	313595	315831	-	"ID=AT1G01910.2-Protein;Name=AT1G01910.2;Derives_from=AT1G01910.2"	AT1G01910.2
Chr1	313746	315831	-	"ID=AT1G01910.3-Protein;Name=AT1G01910.3;Derives_from=AT1G01910.3"	AT1G01910.3
Chr1	313595	315831	-	"ID=AT1G01910.4-Protein;Name=AT1G01910.4;Derives_from=AT1G01910.4"	AT1G01910.4
Chr1	313595	315644	-	"ID=AT1G01910.5-Protein;Name=AT1G01910.5;Derives_from=AT1G01910.5"	AT1G01910.5
Chr1	316204	319507	+	"ID=AT1G01920.1-Protein;Name=AT1G01920.1;Derives_from=AT1G01920.1"	AT1G01920.1
Chr1	316204	319507	+	"ID=AT1G01920.2-Protein;Name=AT1G01920.2;Derives_from=AT1G01920.2"	AT1G01920.2
Chr1	320041	322809	-	"ID=AT1G01930.1-Protein;Name=AT1G01930.1;Derives_from=AT1G01930.1"	AT1G01930.1
Chr1	323082	324719	+	"ID=AT1G01940.1-Protein;Name=AT1G01940.1;Derives_from=AT1G01940.1"	AT1G01940.1
Chr1	325473	330403	+	"ID=AT1G01950.1-Protein;Name=AT1G01950.1;Derives_from=AT1G01950.1"	AT1G01950.1
Chr1	325473	330403	+	"ID=AT1G01950.2-Protein;Name=AT1G01950.2;Derives_from=AT1G01950.2"	AT1G01950.2
Chr1	325473	330403	+	"ID=AT1G01950.3-Protein;Name=AT1G01950.3;Derives_from=AT1G01950.3"	AT1G01950.3
Chr1	330830	337582	-	"ID=AT1G01960.1-Protein;Name=AT1G01960.1;Derives_from=AT1G01960.1"	AT1G01960.1
Chr1	338538	339905	+	"ID=AT1G01970.1-Protein;Name=AT1G01970.1;Derives_from=AT1G01970.1"	AT1G01970.1
Chr1	340374	341999	-	"ID=AT1G01980.1-Protein;Name=AT1G01980.1;Derives_from=AT1G01980.1"	AT1G01980.1
Chr1	343462	344199	-	"ID=AT1G01990.1-Protein;Name=AT1G01990.1;Derives_from=AT1G01990.1"	AT1G01990.1
Chr1	346052	347356	+	"ID=AT1G02000.1-Protein;Name=AT1G02000.1;Derives_from=AT1G02000.1"	AT1G02000.1
Chr1	348046	352197	+	"ID=AT1G02010.1-Protein;Name=AT1G02010.1;Derives_from=AT1G02010.1"	AT1G02010.1
Chr1	348046	352197	+	"ID=AT1G02010.2-Protein;Name=AT1G02010.2;Derives_from=AT1G02010.2"	AT1G02010.2
Chr1	352842	354845	-	"ID=AT1G02020.1-Protein;Name=AT1G02020.1;Derives_from=AT1G02020.1"	AT1G02020.1
Chr1	353214	354845	-	"ID=AT1G02020.2-Protein;Name=AT1G02020.2;Derives_from=AT1G02020.2"	AT1G02020.2
Chr1	355385	356188	-	"ID=AT1G02030.1-Protein;Name=AT1G02030.1;Derives_from=AT1G02030.1"	AT1G02030.1
Chr1	358104	359078	-	"ID=AT1G02040.1-Protein;Name=AT1G02040.1;Derives_from=AT1G02040.1"	AT1G02040.1
Chr1	359164	360441	-	"ID=AT1G02050.1-Protein;Name=AT1G02050.1;Derives_from=AT1G02050.1"	AT1G02050.1
Chr1	360918	363050	-	"ID=AT1G02060.1-Protein;Name=AT1G02060.1;Derives_from=AT1G02060.1"	AT1G02060.1
Chr1	365625	367149	+	"ID=AT1G02065.1-Protein;Name=AT1G02065.1;Derives_from=AT1G02065.1"	AT1G02065.1
Chr1	365625	366365	+	"ID=AT1G02065.2-Protein;Name=AT1G02065.2;Derives_from=AT1G02065.2"	AT1G02065.2
Chr1	370445	370947	-	"ID=AT1G02070.1-Protein;Name=AT1G02070.1;Derives_from=AT1G02070.1"	AT1G02070.1
Chr1	372064	372210	+	"ID=AT1G02074.1-Protein;Name=AT1G02074.1;Derives_from=AT1G02074.1"	AT1G02074.1
Chr1	373335	386682	+	"ID=AT1G02080.1-Protein;Name=AT1G02080.1;Derives_from=AT1G02080.1"	AT1G02080.1
Chr1	373694	386682	+	"ID=AT1G02080.2-Protein;Name=AT1G02080.2;Derives_from=AT1G02080.2"	AT1G02080.2
Chr1	387479	389568	-	"ID=AT1G02090.1-Protein;Name=AT1G02090.1;Derives_from=AT1G02090.1"	AT1G02090.1
Chr1	387647	389568	-	"ID=AT1G02090.2-Protein;Name=AT1G02090.2;Derives_from=AT1G02090.2"	AT1G02090.2
Chr1	388223	389568	-	"ID=AT1G02090.3-Protein;Name=AT1G02090.3;Derives_from=AT1G02090.3"	AT1G02090.3
Chr1	389876	392448	+	"ID=AT1G02100.1-Protein;Name=AT1G02100.1;Derives_from=AT1G02100.1"	AT1G02100.1
Chr1	389876	392293	+	"ID=AT1G02100.2-Protein;Name=AT1G02100.2;Derives_from=AT1G02100.2"	AT1G02100.2
Chr1	389876	392448	+	"ID=AT1G02100.3-Protein;Name=AT1G02100.3;Derives_from=AT1G02100.3"	AT1G02100.3
Chr1	392939	395434	+	"ID=AT1G02110.1-Protein;Name=AT1G02110.1;Derives_from=AT1G02110.1"	AT1G02110.1
Chr1	395761	399720	+	"ID=AT1G02120.1-Protein;Name=AT1G02120.1;Derives_from=AT1G02120.1"	AT1G02120.1
Chr1	400350	401788	-	"ID=AT1G02130.1-Protein;Name=AT1G02130.1;Derives_from=AT1G02130.1"	AT1G02130.1
Chr1	403467	404401	-	"ID=AT1G02140.1-Protein;Name=AT1G02140.1;Derives_from=AT1G02140.1"	AT1G02140.1
Chr1	404627	408485	+	"ID=AT1G02145.1-Protein;Name=AT1G02145.1;Derives_from=AT1G02145.1"	AT1G02145.1
Chr1	404915	408485	+	"ID=AT1G02145.2-Protein;Name=AT1G02145.2;Derives_from=AT1G02145.2"	AT1G02145.2
Chr1	404627	408485	+	"ID=AT1G02145.3-Protein;Name=AT1G02145.3;Derives_from=AT1G02145.3"	AT1G02145.3
Chr1	404915	408485	+	"ID=AT1G02145.4-Protein;Name=AT1G02145.4;Derives_from=AT1G02145.4"	AT1G02145.4
Chr1	408779	410433	+	"ID=AT1G02150.1-Protein;Name=AT1G02150.1;Derives_from=AT1G02150.1"	AT1G02150.1
Chr1	410803	411383	+	"ID=AT1G02160.1-Protein;Name=AT1G02160.1;Derives_from=AT1G02160.1"	AT1G02160.1
Chr1	410803	411361	+	"ID=AT1G02160.2-Protein;Name=AT1G02160.2;Derives_from=AT1G02160.2"	AT1G02160.2
Chr1	411883	413426	+	"ID=AT1G02170.1-Protein;Name=AT1G02170.1;Derives_from=AT1G02170.1"	AT1G02170.1
Chr1	413619	414505	-	"ID=AT1G02180.1-Protein;Name=AT1G02180.1;Derives_from=AT1G02180.1"	AT1G02180.1
Chr1	415154	417796	+	"ID=AT1G02190.1-Protein;Name=AT1G02190.1;Derives_from=AT1G02190.1"	AT1G02190.1
Chr1	415154	417796	+	"ID=AT1G02190.2-Protein;Name=AT1G02190.2;Derives_from=AT1G02190.2"	AT1G02190.2
Chr1	419650	422154	+	"ID=AT1G02205.1-Protein;Name=AT1G02205.1;Derives_from=AT1G02205.1"	AT1G02205.1
Chr1	418818	422154	+	"ID=AT1G02205.2-Protein;Name=AT1G02205.2;Derives_from=AT1G02205.2"	AT1G02205.2
Chr1	418818	422154	+	"ID=AT1G02205.3-Protein;Name=AT1G02205.3;Derives_from=AT1G02205.3"	AT1G02205.3
Chr1	427548	427811	-	"ID=AT1G02210.1-Protein;Name=AT1G02210.1;Derives_from=AT1G02210.1"	AT1G02210.1
Chr1	428902	430567	-	"ID=AT1G02220.1-Protein;Name=AT1G02220.1;Derives_from=AT1G02220.1"	AT1G02220.1
Chr1	435174	436775	-	"ID=AT1G02230.1-Protein;Name=AT1G02230.1;Derives_from=AT1G02230.1"	AT1G02230.1
Chr1	437951	439559	-	"ID=AT1G02250.1-Protein;Name=AT1G02250.1;Derives_from=AT1G02250.1"	AT1G02250.1
Chr1	440757	442459	-	"ID=AT1G02260.1-Protein;Name=AT1G02260.1;Derives_from=AT1G02260.1"	AT1G02260.1
Chr1	443301	446197	-	"ID=AT1G02270.1-Protein;Name=AT1G02270.1;Derives_from=AT1G02270.1"	AT1G02270.1
Chr1	448665	450246	-	"ID=AT1G02280.1-Protein;Name=AT1G02280.1;Derives_from=AT1G02280.1"	AT1G02280.1
Chr1	448665	450246	-	"ID=AT1G02280.2-Protein;Name=AT1G02280.2;Derives_from=AT1G02280.2"	AT1G02280.2
Chr1	450646	451977	-	"ID=AT1G02290.1-Protein;Name=AT1G02290.1;Derives_from=AT1G02290.1"	AT1G02290.1
Chr1	453288	455376	+	"ID=AT1G02300.1-Protein;Name=AT1G02300.1;Derives_from=AT1G02300.1"	AT1G02300.1
Chr1	455816	457974	+	"ID=AT1G02305.1-Protein;Name=AT1G02305.1;Derives_from=AT1G02305.1"	AT1G02305.1
Chr1	458243	460652	-	"ID=AT1G02310.1-Protein;Name=AT1G02310.1;Derives_from=AT1G02310.1"	AT1G02310.1
Chr1	461828	461974	+	"ID=AT1G02320.1-Protein;Name=AT1G02320.1;Derives_from=AT1G02320.1"	AT1G02320.1
Chr1	462202	463521	-	"ID=AT1G02330.1-Protein;Name=AT1G02330.1;Derives_from=AT1G02330.1"	AT1G02330.1
Chr1	463979	464876	-	"ID=AT1G02335.1-Protein;Name=AT1G02335.1;Derives_from=AT1G02335.1"	AT1G02335.1
Chr1	465933	467685	-	"ID=AT1G02340.1-Protein;Name=AT1G02340.1;Derives_from=AT1G02340.1"	AT1G02340.1
Chr1	469818	470693	+	"ID=AT1G02350.1-Protein;Name=AT1G02350.1;Derives_from=AT1G02350.1"	AT1G02350.1
Chr1	472138	473116	-	"ID=AT1G02360.1-Protein;Name=AT1G02360.1;Derives_from=AT1G02360.1"	AT1G02360.1
Chr1	474516	476383	+	"ID=AT1G02370.1-Protein;Name=AT1G02370.1;Derives_from=AT1G02370.1"	AT1G02370.1
Chr1	477814	478850	+	"ID=AT1G02380.1-Protein;Name=AT1G02380.1;Derives_from=AT1G02380.1"	AT1G02380.1
